lat,lng
35.6897,139.6922
-6.2146,106.8451
28.66,77.23
18.9667,72.8333
14.5958,120.9772
31.1667,121.4667
-23.5504,-46.6339
37.5833,127
19.4333,-99.1333
23.1288,113.259
39.905,116.3914
30.0561,31.2394
40.6943,-73.9249
22.5411,88.3378
55.7558,37.6178
13.75,100.5167
-34.5997,-58.3819
22.535,114.054
23.7161,90.3961
6.45,3.4
41.01,28.9603
34.6936,135.5019
24.86,67.01
12.9699,77.598
35.7,51.4167
-4.3317,15.3139
10.8167,106.6333
34.1139,-118.4068
-22.9083,-43.1964
32.9987,112.5292
13.0825,80.275
30.6636,104.0667
31.5497,74.3436
48.8566,2.3522
51.5072,-0.1275
35.0606,118.3425
39.1467,117.2056
38.0422,114.5086
38.8671,115.4845
33.625,114.6418
-12.05,-77.0333
17.3667,78.4667
4.6126,-74.0705
36.7167,119.1
35.1167,136.9333
30.5872,114.2881
35.2333,115.4333
25.8292,114.9336
34.261,117.1859
27.8041,114.383
28.6583,121.4221
36.45,115.9833
25.5102,103.8029
32.0654,112.1531
21.17,72.83
33.35,44.4167
36.1167,120.4
1.3,103.8
32.7936,-96.7662
29.0397,111.6839
31.2152,107.4947
33.6333,116.9683
40.0077,-75.1339
23.5533,116.3649
-1.2864,36.8172
35.2992,113.8851
39.93,32.85
36.2001,117.0809
22.6293,110.1507
37.4513,116.3105
29.7863,-95.3889
33.7627,-84.4224
16.8,96.15
43.7417,-79.3733
46.6384,126.9808
38.9047,-77.0163
47.3398,123.9512
29.1046,119.6494
59.95,30.3167
23.3735,116.6941
-33.865,151.2094
34.4996,109.4684
33.9331,118.2831
20.6767,-103.3475
31.304,120.6164
26.0769,119.2917
27.3328,103.7144
31.2231,121.5397
26.4515,111.5953
-19.8917,-43.9478
24.5093,117.6612
33.8626,115.7742
-37.8136,144.9631
28.6842,115.8872
34.35,108.7167
32.4831,119.9
-7.2458,112.7378
5.3364,-4.0267
27.1172,114.9793
31.4669,104.7385
21.5428,39.1728
32.5,74.5333
23.1115,114.4152
23.6842,113.0507
27.8407,113.1469
31.334,118.3622
23.0965,109.6091
47.6211,-122.3244
27.7378,111.9974
37.3806,118.0125
24.3181,109.4069
35.4333,139.6333
34.3609,107.1751
30.4673,106.6336
33.0794,107.026
34.5328,69.1658
34.8667,117.55
52.5167,13.3833
41.1066,122.9895
31.1289,104.395
36.0617,103.8318
40.9739,117.9322
37.7562,-122.443
35.7639,115.03
30.5098,105.5737
35.229,113.2304
32.9354,117.3531
45.5089,-73.5617
42.3834,-83.1024
23.901,106.6194
35.1,129.0403
36.7764,3.0586
34.5809,105.7311
37.8733,112.5425
26.847,80.947
41.5757,120.4486
24.6928,108.085
29.5854,103.7575
38.2655,109.7388
43.1715,124.3644
40.4189,-3.6919
36.6667,116.9833
32.6351,110.7755
36.1953,113.097
32.8312,-117.1225
31.418,73.079
-17.7892,-63.1975
31.8576,106.7559
22.5333,113.35
32.2109,119.4551
43.825,87.6
26.6448,118.1728
25.0881,117.0244
7.3964,3.9167
40.8151,111.6629
23.67,116.63
-18.9386,47.5214
33.535,105.349
37.5,122.1
22.335,91.8325
18.4764,-69.8933
30.9475,118.7518
26.2658,117.6302
40.6501,-73.9496
6.2447,-75.5748
-27.4678,153.0281
25.1211,99.169
25.2697,55.3094
33.583,114.0109
35.7278,107.64
25.15,82.58
32.4353,105.8398
3.44,-76.5197
35.8667,128.6
-3.7275,-38.5275
14.6099,-90.5252
3.8578,11.5181
4.05,9.7
43.85,126.55
40.7503,120.83
23.8864,100.0871
36.9081,30.6956
41.3,69.2667
30.2018,115.0326
-6.95,107.5667
21.1539,79.0831
40.1167,124.3833
32.4831,117.0164
33.868,109.9244
-6.2333,107
28.6667,77.4167
32.525,-117.0333
46.8081,130.3653
21.8556,111.9627
5.6037,-0.187
24.3495,102.5432
41.8708,123.8917
26.2456,105.934
49.25,-123.1
-6.1783,106.6319
37.8714,32.4847
40.7498,-73.7976
38.5667,-121.4683
-15.7861,35.0058
22.9833,120.1833
44.4,26.0833
37.9278,102.6329
23.25,77.4167
-25.4297,-49.2719
40.08,113.3
-25.3,-57.6333
34.75,72.3572
48.2083,16.3731
36.2,37.15
53.55,10
0.05,37.65
-4.2667,15.2833
28.4772,-81.3369
36.8,34.6167
43.25,76.9
10.96,-74.8
35.0111,135.7669
-3.1,-60.0167
41.2643,123.1772
36.5448,104.1766
37.3019,-121.8486
52.2167,21.0333
37.45,118.4667
-11.6697,27.4581
33.5131,36.2919
34.1299,118.7734
34.4504,115.65
32.6447,51.6675
47.4983,19.0408
50.2458,127.4886
-15.4167,28.2833
37.9108,40.2367
18.6278,73.8131
39.3408,112.4292
-20.324,-40.366
41.4767,-81.6804
40.4396,-79.9762
21.4225,39.8261
25.61,85.1414
36.3667,43.1167
30.3004,-97.7522
30.82,108.4
9.5092,-13.7122
0.3136,32.5811
19.6097,-99.06
39.1413,-84.5061
-5.1331,119.4136
31.3867,120.9766
48.1372,11.5755
56.8356,60.6128
-36.85,174.7833
22.9242,112.0353
29.7132,118.3151
32.6832,112.079
29.61,52.5425
21.1167,-101.6833
34.3422,118.0097
-2.9833,104.7644
50,36.2292
35.53,139.705
21.6146,110.2794
30.6583,117.4849
20.9147,110.0806
36.008,106.2782
27.778,120.6526
52.6736,-1.12
23.6139,58.5922
35.7497,114.2887
30.6667,113.1667
40.8501,-73.8662
52.08,4.27
5.4833,7.0333
25.3575,55.3919
28.4333,77.3167
47.9203,106.9172
-16.6789,-49.2539
-1.4558,-48.5039
38.7333,35.4833
28.1188,120.9621
44.8167,20.4667
36.7833,119.9556
19.88,75.32
28.3147,112.554
28.3797,121.3718
33.6989,73.0369
43.0642,-87.9673
45.4669,9.19
42.6975,23.3241
-34.9289,138.6011
41.2867,36.33
22.2969,70.7984
22.8167,89.55
-31.4167,-64.1833
-23.4667,-46.5333
31.7386,-106.487
50.0833,14.4167
-34.8667,-56.1667
-6.1209,23.5967
25.7232,119.3735
6.3176,5.6145
27.795,114.9242
31.3203,48.6692
53.3425,-6.2658
30.3322,-81.6749
24.4667,39.6
34.0911,74.8061
54.9667,73.3833
21.654,110.6294
-7.7167,109.017
30.3833,113.4
-5.4294,105.2625
53.1833,50.1167
28.1417,113.625
35.55,129.3167
38.5158,114.9845
-22.9009,-47.0573
27.6961,111.6659
29.8239,112.9019
36.0656,113.8153
19.8028,96.1583
14.7319,-17.4572
29.7169,120.2314
20.7167,-103.4
26.4179,112.8457
26.5849,101.7149
30.192,67.007
31.6167,74.85
-12.0611,-77.1333
27.88,78.08
34.1511,113.4733
14.0942,-87.2067
19.41,-99.03
32.8752,13.1875
47.2333,39.7167
19.4,-98.9889
19.3,73.0667
30.0162,122.0988
41.7225,44.7925
54.7333,55.9667
34.0433,-5.0033
10.9575,106.8426
32.6633,-115.4678
26.215,78.1931
32.6877,109.0235
7.5304,5.76
47.3139,130.2775
40.7777,-111.9306
21.2167,81.4333
30.0372,121.1546
12.11,15.05
39.6271,121.9972
31.169,112.5853
42.3,69.6
30.0687,-89.9288
48.7,44.4833
18.5425,-72.3386
12.3086,76.6531
46.4775,30.7326
27.7167,85.3667
21.2379,81.6337
43.7034,7.2663
-16.3988,-71.5369
4.75,7
51.92,4.48
38.1663,-85.6485
32.1287,112.7581
33.4433,114.8994
25.18,75.83
24.4781,54.3686
59.3294,18.0686
45.4247,-75.695
15.3333,38.9167
8.4833,-13.2331
31.7833,35.2167
9,-79.5
6.1319,1.2228
0.3901,9.4544
45.8,15.95
38.5731,68.7864
-13.9833,33.7833
6.4,2.52
17.9667,102.6
6.9167,79.8333
-1.9536,30.0606
-25.7464,28.1881
4.3732,18.5628
49.8844,-97.1464
46.8139,-71.2081
56.9475,24.1069
59.9111,10.7528
47.0056,28.8575
37.9794,23.7161
-3.3825,29.3611
60.1756,24.9342
41.9833,21.4333
29.375,47.98
17.9714,-76.7931
54.6833,25.2833
13.6989,-89.1914
11.595,43.1481
38.7452,-9.1604
0.3333,6.7333
-17.75,168.3
4.9167,114.9167
43.7396,7.4069
-3.4264,29.9306
10.6667,-61.5167
-13.8333,-171.8333
47.1415,9.5215
13.4531,-16.5775
1.3382,173.0176
-4.6236,55.4544
7.1167,171.3667
13.1667,-61.2333
-21.1347,-175.2083
17.1211,-61.8447
42.5,1.5
17.25,-88.7675
15.3,-61.3833
17.2983,-62.7342
-14.274,-170.7046
35.8978,14.5125
6.9178,158.185
-8.5167,179.2167
-26.4167,31.1667
12.0444,-61.7417
43.932,12.4484
31.7764,35.2269
15.2137,145.7546
13.4745,144.7504
7.5006,134.6242
28.364,79.415
16.06,108.25
33.8704,130.82
26.2918,73.0168
24.1681,115.6669
32.8534,120.3037
-26.32,-48.8399
24.1876,113.4042
48.45,34.9833
55.8609,-4.2514
35.6,140.1
31.9948,119.575
-6.9838,-60.2699
40.8333,14.25
46.0635,125.9773
39.737,98.5049
35.4667,44.4
31.8131,121.6574
37.2361,127.2011
35.4676,-97.5136
43.6045,1.444
-5.795,-35.2089
-29.7096,-51.14
28.6353,-106.0889
3.0333,101.45
45.0667,7.7
9.9333,8.8833
36.9758,120.7136
31.3256,75.5792
-20.4686,-54.6222
34.05,-6.8167
8.6333,-70.2167
43.2964,5.37
34.85,114.35
39.7767,30.5206
36.3833,119.75
4.6,101.07
32.532,120.4604
53.4,-2.9833
6.9167,122.0833
35.6969,-0.6331
50.9,-1.4
37.1792,119.9333
0.5333,101.45
50.8058,-1.0872
28.9632,117.1203
36.1911,44.0094
34.3167,47.0686
47.4585,126.9632
22.1667,111.7833
31.1817,115.0189
8.5,4.55
-5.0949,-42.8042
41.2627,-96.0522
37.6804,112.73
51.5333,46
-22.74,-43.47
31.8479,-106.4309
-8.6667,115.2167
44.5323,125.6965
19.4753,-99.2378
20.2644,85.8281
34.9057,108.9422
36.6372,127.4897
5.5167,5.75
-4.7889,11.8653
29.3801,113.1
22.1511,-100.9761
5.3942,100.3664
19.3,72.85
38.7094,116.1008
19.2925,-99.6569
-0.5022,117.1536
24.0667,120.5333
-29.5833,30.4167
39.8231,127.6232
16.7,74.2333
8.3596,-62.6517
7.9075,-72.5047
31.4174,119.4786
8.5,76.8997
57.15,65.5333
7.7682,-72.2322
47.8378,35.1383
21.1606,-86.8475
32.8031,130.7078
35.4599,113.7975
48.48,124.8738
13.0622,5.2339
33.5277,-86.7987
40.1881,117.9593
37.55,45.1
7.8333,3.9333
26.7345,110.6293
35.0833,112.5833
48.1147,-1.6794
39.0099,106.3694
31.5833,105.972
51.45,-2.5833
40.0059,118.6973
49.8419,24.0315
36.8625,117.7424
53.1153,8.7975
26.0922,-98.2778
32.029,44.3396
35.5667,139.3667
28.9008,120.0284
27.3386,-82.5431
34.65,133.9167
43.6,-79.65
34.5221,110.8786
31.2575,113.6783
30.9333,117.7667
39.7797,-84.1998
6.4403,7.4942
5.4145,100.3292
-8.1803,-35.0014
-23.6572,-46.5333
27.8983,102.2706
10.92,-74.77
31.4515,121.1043
53.5167,49.4167
29.964,77.546
35.9439,126.9544
-23.0333,-45.55
37.9789,-121.7958
28.0556,-81.9545
10.9587,123.3086
9.6,105.9719
7.05,38.4667
34.1958,72.0447
2.4411,-76.6061
-24.0058,-46.4028
28.3185,109.7318
7.2167,124.25
17.9229,77.5175
53.1167,23.1667
8.5833,-71.1333
68.9667,33.0833
38.7581,30.5386
41.652,-4.7286
-8.1727,113.6873
-38.7167,-62.2667
36.5804,36.17
25.4416,49.6642
-22.505,-43.1789
24.1556,47.312
28.8154,79.025
17.4917,44.1322
51.5,31.3
35.3386,129.0386
42.2358,-8.7267
40.7845,-73.5139
-33.0458,-71.6197
48.3717,10.8983
-8.9,33.45
-22.5647,-47.4017
25.75,89.25
-25.09,-50.16
26.72,88.42
38.3686,34.0297
14.6667,120.9417
40.5489,34.9533
22.65,88.34
30.5833,32.2667
29.4004,76.97
39.2224,9.104
18.55,-72.3
35.55,6.1667
37.3675,126.9469
52.7167,41.4333
47.1622,27.5889
14.7833,-16.9167
7.73,8.53
32.3878,48.4033
37.075,36.25
30.2084,-92.0323
35.85,129.2167
1.6667,101.45
34.7569,134.8414
51.0536,3.7253
-38.15,144.35
41.1597,27.8028
26.2442,68.41
51.5167,7.1
36.0641,136.2196
51.2,6.4333
44.84,-0.58
36.9,7.7667
45.4397,12.3319
-23.5111,-46.8764
13.8667,100.5167
27.5629,-99.4875
40.7161,-74.0682
15.1206,108.7922
35.3933,-80.6366
31.05,30.4667
38.0937,106.3321
25.65,-100.0833
-24.9558,-53.4553
35.3231,139.3422
32.51,-84.8771
33.2826,-111.8516
-18.87,-41.97
40.7778,30.4028
7.4478,125.8078
36.728,68.8725
25.6833,-100.45
25.7835,-108.9937
35.8256,139.8056
19.52,-98.88
32.3778,15.0901
37.7667,30.55
26.7855,79.015
34.5664,110.0866
33.2015,-96.6669
20.6275,-87.0811
33.6872,-111.8651
52.5833,-2.1333
31.0754,-97.7296
60.3925,5.3233
30.4551,-84.2526
33.95,130.9333
48.3336,38.0925
-19.8667,47.0333
32.0833,34.8833
36.8945,-76.259
-34.7708,-58.6464
-7.21,-39.32
42.4391,123.5426
-6.4833,-76.3667
25.2938,117.4148
20.3833,-99.9833
36.0333,140.0667
-22.0178,-47.8908
-14.7936,-39.0395
37.5265,-121.9852
51.4828,11.9697
40.8417,31.1583
39.6167,125.6667
56.1572,10.2107
46.1978,-119.1732
-42.8806,147.325
39.7114,76.1753
-19.1167,33.45
34.675,33.0443
32.91,-96.6305
52.1278,11.6292
32.8584,-96.9702
40.51,141.54
45.5333,-73.5167
34.7936,126.3886
48.7167,21.25
25.3994,55.4797
50.6278,3.0583
34.7661,135.6281
5.55,95.3175
49.49,0.1
4.85,100.7333
39.25,125.85
-26.2547,28.4428
48.9228,24.7106
23.6802,58.1825
23.6167,90.5
27.7562,118.0267
33.1631,129.7177
36.4669,52.3569
-34.7167,-58.2667
25.5269,69.0111
55.6333,51.8167
36.3276,-119.3269
27.0046,49.646
16.7667,94.7333
17.45,78.5
28.5902,105.6946
-25.8603,28.1894
61.4981,23.7608
36.2404,137.97
50.2578,127.5364
58.521,31.2758
31.7978,34.6503
21.5767,-78.2775
37.9667,34.6792
-26.107,28.0517
10.8,79.15
51.2981,37.835
19.8,85.8167
9.8667,-83.9167
41.1231,126.1815
22.1833,-100.9333
-22.1258,-51.3889
-34.5167,-58.7667
49.5667,25.6
14.7167,-17.2667
8.5667,-10.1333
-26.1847,-58.1758
33.9004,10.1
-5.52,-47.49
28.58,78.55
-23.9,29.45
36.22,58.82
33.5606,35.3981
51.4036,21.1567
50.7478,25.3244
-29.9027,-71.252
37.9069,112.17
30.4271,-89.0703
10.3353,-68.7458
35.0211,50.3564
19.2242,-70.5283
44.2779,-88.3891
32.7,51.5211
26.3,50.2167
51.544,-0.1027
18.8942,-96.9347
18.4504,-69.3
29.3242,-100.9317
41.5483,2.1075
-22.8583,-47.22
1.4472,125.1978
22.9,88.42
31.4167,31.8167
53.2204,6.58
34.2492,132.5658
-0.95,-80.7162
0.1251,29.299
13.4833,-88.1833
28.45,77.02
50.625,5.5907
65.0142,25.4719
33.2333,-8.5
33.1555,-96.8215
-34.7,-58.5833
35.9302,64.7701
40.9466,-73.8674
-22.4108,-47.5608
41.5495,-72.0882
32.7604,12.72
28.4104,77.8484
-10.1996,31.1799
-20.1495,-44.9
15.8833,-87.95
5.03,118.34
37.4667,57.3333
36.0987,-115.2619
7.8333,123.4333
35.8561,139.9025
44.7667,17.1833
34.1818,-118.2468
33.696,-118.0025
36.8333,-2.45
45.5389,10.2203
24.1,88.25
40.4181,17.2408
42.975,144.3747
-35.455,-71.67
-3.4135,114.8365
22.7,85.63
28.905,-81.2137
17.55,-99.5
13.6167,123.1667
49.1667,-123.1333
32.0167,34.7667
3.25,19.7667
10.0889,-68.0922
47.0722,21.9211
13.1333,123.7333
42.5404,129.0039
22.7,88.45
41.7637,-88.2901
28.7833,76.1333
21.3004,76.13
-5.2496,14.86
-9.9294,-76.2397
53.8833,86.7167
42.3444,130.3844
23.22,72.68
0.5167,35.2833
22.8667,88.3833
9.32,42.15
54.5767,-1.2355
33.2667,35.2
6.5,124.85
53.78,20.4942
11.75,79.75
37.3833,46.2667
40.57,140.47
3.3283,99.1625
16.2511,-92.1342
19.3,-70.25
42.6504,141.55
29.47,55.73
14.0833,121.15
38.6,27.0667
8.1575,125.1278
38.416,-121.3842
53.1667,48.4667
10.6722,-63.2403
45.4347,4.3903
21.3564,-101.9292
12.4333,-86.8833
15.82,80.35
22.74,88.37
49.8225,19.0444
42.9304,143.17
50.347,18.923
41.8082,126.9137
20.95,107.0833
24.6561,84.4356
26.0128,-80.3382
34.8828,-1.3167
38.9956,-1.8558
39.97,-0.05
32.8639,51.5475
-45.8667,-67.5
49.4811,8.4353
38.1133,-122.2358
14.305,-90.785
35.3681,132.755
4.5833,13.6833
-8.195,114.3696
51.4283,6.8789
-17.4042,-66.0408
-7.8508,-35.2547
30.4628,31.1797
44.3711,-79.6769
55.8167,37.3333
14.152,-16.0726
35.7239,140.2239
32.0833,34.8167
31.802,74.255
-27.6167,152.7667
43.8475,25.9544
21.4618,95.3914
-27.1,-52.64
36.8944,126.6297
5.6667,-0.0167
26.084,43.994
-12.1528,-44.99
28.7,-100.5231
-23.5917,-48.0531
37.8944,127.1992
38.5,27.7
20.8504,72.92
7.7,27.9833
40.6667,29.8333
30.0703,71.1933
40.1167,67.85
47.1167,51.8833
22.7807,100.9782
43.3494,17.8125
13.45,22.44
30.5589,49.1981
42.9848,-71.4447
9.4333,-64.4667
-4.9,-80.7
22.7755,73.6149
44.85,20.4
36.7704,45.72
28.03,79.09
13.2,79.1167
36.5656,128.725
31.4175,46.1772
-15.1953,12.1508
30.4,56
-26.1883,28.3206
49.4122,8.71
27.2578,33.8117
38.4811,28.1392
55.8,38.45
0.1333,117.5
17.4833,106.6
23.4,88.5
46.25,20.1667
45.4,-71.9
51.1667,7.0833
46.7468,82.979
14.55,44.4017
-34.8333,-58.5167
-22.9189,-46.5425
9.7833,125.4833
27.4833,95
-15.67,46.345
53.3667,55.9333
40.3542,27.9725
28.7657,-81.8996
17.6167,121.7167
-6.75,23.9667
20.9478,-101.4281
49.0167,12.0833
36.4019,138.2492
29.8554,-93.9264
53.9583,-1.0803
10.16,-67.5582
54.9,52.3
31.1,30.95
35.955,139.8747
33.2497,126.56
-5.9229,12.355
-16.1579,33.5898
-11.45,34.0333
26.7504,82.17
51.5836,-0.3464
50.7167,-1.9833
-7.9667,31.6167
15.6804,38.45
38.8,-9.1833
41.6697,-70.9428
23.7,87.08
42.25,42.7
-26.715,27.1033
35.8175,139.6778
-31.3922,-58.0169
34.15,73.2167
28.1931,-105.4717
27.7306,30.8425
39.7225,43.0544
40.65,35.8333
21.8478,106.7578
40.9667,-5.6639
41.3833,33.7833
29.8742,52.8025
-1.69,29.22
35.4281,133.3311
-12.5447,27.8708
38.2592,-122.0324
35.9333,0.0903
22.83,88.63
30.7194,76.7181
45.8,24.15
41.7483,-88.1657
-33.0498,-71.4415
21.1516,-100.9369
55.1,61.6167
1.6142,-75.6117
38.2705,-104.6112
13.9833,108
40.2111,-8.4291
30.77,20.22
32.3184,-95.3062
21.8481,-78.7631
46.0708,18.2331
33.5492,68.4233
53.8142,-3.0503
24.5804,88.35
47.8666,88.1166
15.4,-87.8
33.8346,-118.3417
-12.9667,40.5167
-22.2958,-48.5578
29.9977,-90.178
33.1,6.0667
20.95,-97.4
38.625,34.7122
31.6111,-2.23
46.8,-71.1833
16.5333,81.5333
30.4167,31.5667
51.588,-0.072
43.5263,5.4454
37.325,42.1958
51.988,5.923
-1.6928,29.25
