ISO3,Country Name,lat_min,lat_max,lon_min,lon_max
AFG,Afghanistan,29.3772,38.4910682,60.5176034,74.889862
AL,Alabama,30.223334,35.008028,-88.473227,-84.88908
ALA,�land Islands,59.4541578,60.87665,19.0832098,21.3456556
AK,Alaska,51.214183,71.365162,-179.148909,179.77847
ALB,Albania,11.081041,11.408791,-72.6598913,-72.4039128
DZA,Algeria,18.968147,37.2962055,-8.668908,11.997337
ASM,American Samoa,-14.7608358,-10.8449746,-171.2951296,-167.9322899
AND,Andorra,42.4288238,42.6559357,1.4135781,1.7863837
AGO,Angola,-18.038945,-4.3880634,11.4609793,24.0878856
AIA,Anguilla,18.0615454,18.7951194,-63.6391992,-62.7125449
ATA,Antarctica,-85.0511287,-60,-180,180
ATG,Antigua and Barbuda,16.7573901,17.929,-62.5536517,-61.447857
ARG,Argentina,-55.1850761,-21.781168,-73.5600329,-53.6374515
AZ,Arizona,31.332177,37.00426,-114.81651,-109.045223
AR,Arkansas,33.004106,36.4996,-94.617919,-89.644395
ARM,Armenia,4.3951997,4.5895768,-75.7854388,-75.6325211
ABW,Aruba,12.1702998,12.8102998,-70.2809842,-69.6409842
AUS,Australia,-55.3228175,-9.0882278,72.2460938,168.2249543
AUT,Austria,46.3722761,49.0205305,9.5307487,17.160776
AZE,Azerbaijan,38.3929551,41.9502947,44.7633701,51.0090302
BHS,Bahamas,20.7059846,27.4734551,-80.7001941,-72.4477521
BHR,Bahrain,35.1878012,35.2278012,72.5273968,72.5673968
BGD,Bangladesh,20.3756582,26.6382534,88.0075306,92.6804979
BRB,Barbados,12.845,13.535,-59.8562115,-59.2147175
BLR,Belarus,51.2575982,56.17218,23.1783344,32.7627809
BEL,Belgium,49.4969821,51.5516667,2.3889137,6.408097
BLZ,Belize,15.8857286,18.496001,-89.2262083,-87.3098494
BEN,Benin,6.1730586,6.4930586,5.4621058,5.7821058
BMU,Bermuda,32.0469651,32.5913693,-65.1232222,-64.4109842
BTN,Bhutan,26.702016,28.246987,88.7464724,92.1252321
BOL,Bolivia Plurinational State of,-22.8982742,-9.6689438,-69.6450073,-57.453
BIH,Bosnia and Herzegovina,42.5553114,45.2764135,15.7287433,19.6237311
BWA,Botswana,-26.9059669,-17.778137,19.9986474,29.375304
BVT,Bouvet Island,-54.654,-54.187,2.9345531,3.7791099
BRA,Brazil,-33.8689056,5.2842873,-73.9830625,-28.6341164
BRN,Brunei Darussalam,4.002508,5.1011857,114.0758734,115.3635623
BGR,Bulgaria,41.2353929,44.2167064,22.3571459,28.8875409
BFA,Burkina Faso,9.4104718,15.084,-5.5132416,2.4089717
BDI,Burundi,-4.4693155,-2.3096796,29.0007401,30.8498462
CA,California,32.534156,42.009518,-124.409591,-114.131211
KHM,Cambodia,9.4752639,14.6904224,102.3338282,107.6276788
CMR,Cameroon,1.6546659,13.083333,8.3822176,16.1921476
CAN,Canada,41.6765556,83.3362128,-141.00275,-52.3231981
CPV,Cape Verde,14.8031546,17.2053108,-25.3609478,-22.6673416
CYM,Cayman Islands,19.0620619,19.9573759,-81.6313748,-79.5110954
CAF,Central African Republic,25.217277,25.2194356,55.1742999,55.1762608
TCD,Chad,7.44107,23.4975,13.47348,24
CHL,Chile,-56.725,-17.4983998,-109.6795789,-66.0753474
CHN,China,25.0671341,25.9161824,-99.4612273,-98.421576
CXR,Christmas Island,-10.5698515,-10.4123553,105.5336422,105.7130159
CCK,Cocos (Keeling) Islands,-12.4055983,-11.6213132,96.612524,97.1357343
COL,Colombia,-4.2316872,16.0571269,-82.1243666,-66.8511907
CO,Colorado,36.992426,41.003444,-109.060253,-102.041524
MP,Commonwealth of the Northern Mariana Islands,14.110472,20.553802,144.886331,146.064818
COM,Comoros,-12.621,-11.165,43.025305,44.7451922
COG,Congo,-5.149089,3.713056,11.0048205,18.643611
COD,Congo the Democratic Republic of the,-4.2726671,-4.2723703,15.2829578,15.283136
CT,Connecticut,40.980144,42.050587,-73.727775,-71.786994
COK,Cook Islands,-22.15807,-8.7168792,-166.0856468,-157.1089329
CRI,Costa Rica,5.3329698,11.2195684,-87.2722647,-82.5060208
CIV,C�te d'Ivoire,4.1621205,10.740197,-8.601725,-2.493031
HRV,Croatia,42.1765993,46.555029,13.2104814,19.4470842
CUB,Cuba,19.6275294,23.4816972,-85.1679702,-73.9190004
CYP,Cyprus,27.4823018,42.4823018,25.6451285,40.6451285
CZE,Czech Republic,48.5518083,51.0557036,12.0905901,18.859216
DE,Delaware,38.451013,39.839007,-75.788658,-75.048939
DNK,Denmark,54.4516667,57.9524297,7.7153255,15.5530641
DC,District of Columbia,38.791645,38.99511,-77.119759,-76.909395
DJI,Djibouti,10.9149547,12.7923081,41.7713139,43.6579046
DMA,Dominica,15.0074207,15.7872222,-61.6869184,-61.0329895
DOM,Dominican Republic,17.2701708,21.303433,-72.0574706,-68.1101463
ECU,Ecuador,-5.0159314,1.8835964,-92.2072392,-75.192504
EGY,Egypt,22,31.8330854,24.6499112,37.1153517
SLV,El Salvador,12.976046,14.4510488,-90.1790975,-87.6351394
GNQ,Equatorial Guinea,-1.6732196,3.989,5.4172943,11.3598628
ERI,Eritrea,25.2197993,25.2220008,55.1720522,55.1736716
EST,Estonia,57.5092997,59.9383754,21.3826069,28.2100175
ETH,Ethiopia,3.397448,14.8940537,32.9975838,47.9823797
FLK,Falkland Islands (Malvinas),-53.1186766,-50.7973007,-61.7726772,-57.3662367
FRO,Faroe Islands,61.3915553,62.3942991,-7.6882939,-6.2565525
FJI,Fiji,-21.9434274,-12.2613866,-180,180
FIN,Finland,59.4541578,70.0922939,19.0832098,31.5867071
FL,Florida,24.523096,31.000888,-87.634938,-80.031362
FRA,France,41.2632185,51.268318,-5.4534286,9.8678344
GUF,French Guiana,2.112222,5.7507111,-54.60278,-51.6346139
PYF,French Polynesia,-28.0990232,-7.6592173,-154.9360599,-134.244799
ATF,French Southern Territories,-50.2187169,-11.3139928,39.4138676,77.8494974
GAB,Gabon,-4.1012261,2.3182171,8.5002246,14.539444
GMB,Gambia,13.061,13.8253137,-17.0288254,-13.797778
GEO,Georgia,30.355757,35.0013544,-85.6051201,-80.7514321
GA,Georgia,30.357851,35.000659,-85.605165,-80.839729
DEU,Germany,47.2701114,55.099161,5.8663153,15.0419319
GHA,Ghana,4.5392525,11.1748562,-3.260786,1.2732942
GIB,Gibraltar,36.100807,36.180807,-5.3941295,-5.3141295
GRC,Greece,34.7006096,41.7488862,19.2477876,29.7296986
GRL,Greenland,43.0015105,43.0770931,-70.907562,-70.805801
GRD,Grenada,11.786,12.5966532,-62.0065868,-61.1732143
GLP,Guadeloupe,15.8320085,16.5144664,-61.809764,-61.0003663
GUM,Guam,13.182335,13.706179,144.563426,145.009167
GU,Guam,13.234189,13.654383,144.618068,144.956712
GTM,Guatemala,13.6345804,17.8165947,-92.3105242,-88.1755849
GGY,Guernsey,49.4155331,49.5090776,-2.6751703,-2.501814
GIN,Guinea,38.1240893,38.1640893,-77.4591124,-77.4191124
GNB,Guinea-Bissau,10.6514215,12.6862384,-16.894523,-13.6348777
GUY,Guyana,1.1710017,8.6038842,-61.414905,-56.4689543
HTI,Haiti,21.7470269,21.7870269,-78.1147805,-78.0747805
HI,Hawaii,18.910361,28.402123,-178.334698,-154.806773
HMD,Heard Island and McDonald Islands,-53.394741,-52.7030677,72.2460938,74.1988754
VAT,Holy See (Vatican City State),41.9002044,41.9073912,12.4457442,12.4583653
HND,Honduras,12.9808485,17.619526,-89.3568207,-82.1729621
HKG,Hong Kong,22.1193278,22.4393278,114.0028131,114.3228131
HUN,Hungary,45.737128,48.585257,16.1138867,22.8977094
ISL,Iceland,51.3863696,51.3868275,0.5475318,0.5479162
ID,Idaho,41.988057,49.001146,-117.243027,-111.043564
IL,Illinois,36.970298,42.508481,-91.513079,-87.494756
IND,India,6.5546079,35.6745457,68.1113787,97.395561
IN,Indiana,37.771742,41.760592,-88.09776,-84.784579
IDN,Indonesia,-11.2085669,6.2744496,94.7717124,141.0194444
IA,Iowa,40.375501,43.501196,-96.639704,-90.140061
IRN,Iran Islamic Republic of,24.8465103,39.7816502,44.0318908,63.3332704
IRQ,Iraq,29.0585661,37.380932,38.7936719,48.8412702
IRL,Ireland,51.222,55.636,-11.0133788,-5.6582363
IMN,Isle of Man,54.0539576,54.4178705,-4.7946845,-4.3076853
ISR,Israel,29.4533796,33.3356317,34.2674994,35.8950234
ITA,Italy,35.2889616,47.0921462,6.6272658,18.7844746
JAM,Jamaica,16.5899443,18.7256394,-78.5782366,-75.7541143
JPN,Japan,20.2145811,45.7112046,122.7141754,154.205541
JEY,Jersey,49.1625179,49.2621288,-2.254512,-2.0104193
JOR,Jordan,10.5378127,10.6910595,122.4078085,122.6356296
KS,Kansas,36.993016,40.003162,-102.051744,-94.588413
KAZ,Kazakhstan,40.5686476,55.4421701,46.4932179,87.3156316
KY,Kentucky,36.497129,39.147458,-89.571509,-81.964971
KEN,Kenya,-4.8995204,4.62,33.9098987,41.899578
KIR,Kiribati,-7.0516717,7.9483283,-179.1645388,-164.1645388
PRK,Korea Democratic Peoples Republic of,37.5867855,43.0089642,124.0913902,130.924647
KOR,Korea Republic of,37.52806,37.52816,126.89575,126.89585
KWT,Kuwait,-12.0494672,-12.0094672,-72.8801102,-72.8401102
KGZ,Kyrgyzstan,39.1728437,43.2667971,69.2649523,80.2295793
LAO,Lao Peoples Democratic Republic,13.9096752,22.5086717,100.0843247,107.6349989
LVA,Latvia,55.6746505,58.0855688,20.6715407,28.2414904
LBN,Lebanon,40.3199193,40.355802,-76.4508668,-76.391965
LSO,Lesotho,-30.6772773,-28.570615,27.0114632,29.4557099
LBR,Liberia,4.1555907,8.5519861,-11.6080764,-7.367323
LBY,Libyan Arab Jamahiriya,19.5008138,33.3545898,9.391081,25.3770629
LIE,Liechtenstein,47.0484291,47.270581,9.4716736,9.6357143
LTU,Lithuania,53.8967893,56.4504213,20.653783,26.8355198
LA,Louisiana,28.928609,33.019457,-94.043147,-88.817017
LUX,Luxembourg,49.4969821,50.430377,4.9684415,6.0344254
MAC,Macao,25.2349583,25.2368385,55.1803834,55.1821684
MKD,Macedonia the former Yugoslav Republic of,40.8536596,42.3735359,20.4529023,23.034051
MDG,Madagascar,-25.6071002,-11.9519693,43.2202072,50.4862553
ME,Maine,42.977764,47.459686,-71.083924,-66.949895
MWI,Malawi,-17.1296031,-9.3683261,32.6703616,35.9185731
MYS,Malaysia,-5.1076241,9.8923759,105.3471939,120.3471939
MDV,Maldives,25.2252959,25.2263769,55.1823199,55.1837469
MLI,Mali,10.147811,25.001084,-12.2402835,4.2673828
MLT,Malta,35.6029696,36.2852706,13.9324226,14.8267966
MHL,Marshall Islands,-0.5481258,14.4518742,163.4985095,178.4985095
MTQ,Martinique,14.3948596,14.8787029,-61.2290815,-60.8095833
MD,Maryland,37.911717,39.723043,-79.487651,-75.048939
MA,Massachusetts,41.237964,42.886589,-73.508142,-69.928393
MRT,Mauritania,25.2143602,25.2163939,55.1665334,55.1690669
MUS,Mauritius,-20.725,-10.138,56.3825151,63.7151319
MYT,Mayotte,-13.0210119,-12.6365902,45.0183298,45.2999917
MEX,Mexico,19.2726009,19.5926009,-99.2933416,-98.9733416
MI,Michigan,41.696118,48.2388,-90.418136,-82.413474
FSM,Micronesia Federated States of,0.827,10.291,137.2234512,163.2364054
MN,Minnesota,43.499356,49.384358,-97.239209,-89.491739
MS,Mississippi,30.173943,34.996052,-91.655009,-88.097888
MO,Missouri,35.995683,40.61364,-95.774704,-89.098843
MDA,Moldova Republic of,46.6744934,46.6745934,29.7521496,29.7522496
MCO,Monaco,43.7247599,43.7519311,7.4090279,7.4398704
MNG,Mongolia,41.5800276,52.1496,87.73762,119.931949
MT,Montana,44.358221,49.00139,-116.050003,-104.039138
MNE,Montenegro,-29.8446455,-29.5743342,-51.662,-51.3498193
MSR,Montserrat,16.475,17.0152978,-62.450667,-61.9353818
MAR,Morocco,21.3365321,36.0505269,-17.2551456,-0.998429
MOZ,Mozambique,19.038889,19.078889,-96.274167,-96.234167
MMR,Myanmar,9.4399432,28.547835,92.1719423,101.1700796
NAM,Namibia,-28.96945,-16.9634855,11.5280384,25.2617671
NRU,Nauru,-0.5541334,-0.5025906,166.9091794,166.9589235
NE,Nebraska,39.999998,43.001708,-104.053514,-95.30829
NPL,Nepal,26.3477581,30.446945,80.0586226,88.2015257
NLD,Netherlands,11.825,53.7253321,-68.6255319,7.2274985
ANT,Netherlands Antilles,12.1544542,12.1547472,-68.940593,-68.9403518
NV,Nevada,35.001857,42.002207,-120.005746,-114.039648
NCL,New Caledonia,33.0351363,33.0751363,-92.6876556,-92.6476556
NH,New Hampshire,42.69699,45.305476,-72.557247,-70.610621
NJ,New Jersey,38.928519,41.357423,-75.559614,-73.893979
NM,New Mexico,31.332301,37.000232,-109.050173,-103.001964
NY,New York,40.496103,45.01585,-79.762152,-71.856214
NZL,New Zealand,-52.8213687,-29.0303303,-179.059153,179.3643594
NIC,Nicaragua,10.7076565,15.0331183,-87.901532,-82.6227023
NER,Niger,11.693756,23.517178,0.1689653,15.996667
NGA,Nigeria,4.0690959,13.885645,2.676932,14.678014
NIU,Niue,-19.0840514,-19.0739661,-169.9383436,-169.9129672
NFK,Norfolk Island,-29.333,-28.796,167.6873878,168.2249543
NC,North Carolina,33.842316,36.588117,-84.321869,-75.460621
ND,North Dakota,45.935054,49.000574,-104.0489,-96.554507
MNP,Northern Mariana Islands,14.036565,20.616556,144.813338,146.154418
NOR,Norway,57.7590052,71.3848787,4.0875274,31.7614911
OH,Ohio,38.403202,41.977523,-84.820159,-80.518693
OK,Oklahoma,33.615833,37.002206,-103.002565,-94.430662
OMN,Oman,25.2268538,25.2291352,55.1759911,55.1773672
OR,Oregon,41.991794,46.292035,-124.566244,-116.463504
PAK,Pakistan,23.5393916,37.084107,60.872855,77.1203914
PLW,Palau,42.5481153,42.5844284,2.9351868,2.9840518
PSE,"Palestinian Territory, Occupied",31.2201289,32.5521479,34.0689732,35.5739235
PAN,Panama,35.246906,35.286906,-119.0767707,-119.0367707
PNG,Papua New Guinea,-13.1816069,1.8183931,136.7489081,151.7489081
PRY,Paraguay,-27.6063935,-19.2876472,-62.6442036,-54.258
PA,Pennsylvania,39.7198,42.26986,-80.519891,-74.689516
PER,Peru,41.309511,41.38197,-89.164781,-89.105652
PHL,Philippines,4.2158064,21.3217806,114.0952145,126.8072562
PCN,Pitcairn,-25.1306736,-23.8655769,-130.8049862,-124.717534
POL,Poland,49.0020468,55.0336963,14.1229707,24.145783
PRT,Portugal,29.8288021,42.1543112,-31.5575303,-6.1891593
PRI,Puerto Rico,17.9268695,18.5159789,-67.271492,-65.5897525
PR,Puerto Rico,17.88328,18.515683,-67.945404,-65.220703
QAT,Qatar,25.2271767,25.2289841,55.1726803,55.1741485
REU,R�union,-21.3897308,-20.8717136,55.2164268,55.8366924
RI,Rhode Island,41.146339,42.018798,-71.862772,-71.12057
ROU,Romania,43.618682,48.2653964,20.2619773,30.0454257
RUS,Russian Federation,41.1850968,82.0586232,19.6389,180
RWA,Rwanda,-2.8389804,-1.0474083,28.8617546,30.8990738
BLM,Saint Barth�lemy,17.670931,18.1375569,-63.06639,-62.5844019
SHN,Saint Helena Ascension and Tristan da Cunha,-16.23,-15.704,-5.9973424,-5.4234153
KNA,Saint Kitts and Nevis,16.895,17.6158146,-63.051129,-62.3303519
LCA,Saint Lucia,13.508,14.2725,-61.2853867,-60.6669363
MAF,Saint Martin (French part),17.8963535,18.1902778,-63.3605643,-62.7644063
SPM,Saint Pierre and Miquelon,46.5507173,47.365,-56.6972961,-55.9033333
VCT,Saint Vincent and the Grenadines,12.5166548,13.583,-61.6657471,-60.9094146
WSM,Samoa,40.7987372,40.8387372,-124.2064518,-124.1664518
SMR,San Marino,43.8937002,43.992093,12.4033246,12.5160665
STP,Sao Tome and Principe,-0.2135137,1.9257601,6.260642,7.6704783
SAU,Saudi Arabia,14.4840316,14.4846897,121.0177023,121.0265441
SEN,Senegal,12.2372838,16.6919712,-17.7862419,-11.3458996
SRB,Serbia,42.2322435,46.1900524,18.8142875,23.006309
SYC,Seychelles,25.2237725,25.2250726,55.1816849,55.184065
SLE,Sierra Leone,6.755,9.999973,-13.5003389,-10.271683
SGP,Singapore,1.1304753,1.4504753,103.6920359,104.0120359
SVK,Slovakia,47.7314286,49.6138162,16.8331891,22.56571
SVN,Slovenia,45.4214242,46.8766816,13.3754696,16.5967702
SLB,Solomon Islands,-13.2424298,-4.81085,155.3190556,170.3964667
SOM,Somalia,-13.200556,-13.160556,15.246667,15.286667
ZAF,South Africa,-47.1788335,-22.1250301,16.3335213,38.2898954
SC,South Carolina,32.0346,35.215402,-83.35391,-78.54203
SD,South Dakota,42.479635,45.94545,-104.057698,-96.436589
SGS,South Georgia and the South Sandwich Islands,-59.684,-53.3500755,-42.354739,-25.8468303
ESP,Spain,27.4335426,43.9933088,-18.3936845,4.5918885
LKA,Sri Lanka,25.2287738,25.2303051,55.1813071,55.1828523
SDN,Sudan,10.88,10.92,6.48,6.52
SUR,Suriname,1.8312802,6.225,-58.070833,-53.8433358
SJM,Svalbard and Jan Mayen,70.6260825,81.028076,-9.6848146,34.6891253
SWZ,Swaziland,25.2156672,25.217255,55.1807318,55.18286
SWE,Sweden,55.1331192,69.0599699,10.5930952,24.1776819
CHE,Switzerland,45.817995,47.8084648,5.9559113,10.4922941
SYR,Syrian Arab Republic,27.1401861,42.1401861,31.5494106,46.5494106
TWN,Taiwan Province of China,50.8832129,50.8833129,6.0296969,6.0297969
TJK,Tajikistan,36.6711153,41.0450935,67.3332775,75.1539563
TZA,Tanzania United Republic of,-6.8127308,-6.812538,39.2895223,39.2897105
TN,Tennessee,34.982972,36.678118,-90.310298,-81.6469
TX,Texas,25.837377,36.500704,-106.645646,-93.508292
THA,Thailand,5.612851,20.4648337,97.3438072,105.636812
TLS,Timor Leste,-6.3294157,-6.3284839,106.9549541,106.9551755
TGO,Togo,5.926547,11.1395102,-0.1439746,1.8087605
TKL,Tokelau,-9.6442499,-8.3328631,-172.7213673,-170.9797586
TON,Tonga,-24.1034499,-15.3655722,-179.3866055,-173.5295458
TTO,Trinidad and Tobago,9.8732106,11.5628372,-62.083056,-60.2895848
TUN,Tunisia,30.230236,37.7612052,7.5219807,11.8801133
TUR,Turkey,35.8076804,42.297,25.6212891,44.8176638
TKM,Turkmenistan,35.129093,42.7975571,52.335076,66.6895177
TCA,Turks and Caicos Islands,20.9553418,22.1630989,-72.6799046,-70.8643591
TUV,Tuvalu,-10.9939389,-5.4369611,-180,180
UGA,Uganda,-1.4823179,4.2340766,29.573433,35.000308
UKR,Ukraine,44.184598,52.3791473,22.137059,40.2275801
ARE,United Arab Emirates,22.6444,26.2822,51.498,56.3834
GBR,United Kingdom,25.2223186,25.2241651,55.1579517,55.1606916
USA,United States,24.9493,49.5904,-125.0011,-66.9326
UMI,United States Minor Outlying Islands,6.1779744,6.6514388,-162.6816297,-162.1339885
VI,United States Virgin Islands,17.673976,18.412655,-65.085452,-64.564907
URY,Uruguay,-35.7824481,-30.0853962,-58.4948438,-53.0755833
UT,Utah,36.997968,42.001567,-114.052962,-109.041058
UZB,Uzbekistan,37.1821164,45.590118,55.9977865,73.1397362
VUT,Vanuatu,-20.4627425,-12.8713777,166.3355255,170.449982
VEN,Venezuela Bolivarian Republic of,0.647529,15.9158431,-73.3529632,-59.5427079
VT,Vermont,42.726853,45.016659,-73.43774,-71.464555
VNM,Viet Nam,8.1790665,23.393395,102.14441,114.3337595
VGB,Virgin Islands British,17.623468,18.464984,-65.159094,-64.512674
VIR,Virgin Islands U.S.,17.623468,18.464984,-65.159094,-64.512674
VA,Virginia,36.540738,39.466012,-83.675395,-75.242266
WLF,Wallis and Futuna,-14.5630748,-12.9827961,-178.3873749,-175.9190391
WA,Washington,45.543541,49.002494,-124.763068,-116.915989
WV,West Virginia,37.201483,40.638801,-82.644739,-77.719519
ESH,Western Sahara,24.1597324,24.1997324,-13.7867848,-13.7467848
WI,Wisconsin,42.491983,47.080621,-92.888114,-86.805415
WY,Wyoming,40.994746,45.005904,-111.056888,-104.05216
YEM,Yemen,11.9084802,19,41.60825,54.7389375
ZMB,Zambia,-18.0765945,-8.2712822,21.9993509,33.701111
ZWE,Zimbabwe,-22.4241096,-15.6097033,25.2373,33.0683413
